id,Likes,Link,Title,Views,Favourites,Price_ETH,Price_in_dollar,collection
DEAFBEEF Series 0: Synth Poems - Token 59,29,/assets/0xd754937672300ae6708a51229112de4017810934/59,DEAFBEEF Series 0: Synth Poems - Token 59,1,29,150 ,594337.5,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 206,50,/assets/0xd754937672300ae6708a51229112de4017810934/206,DEAFBEEF Series 4: Glitchbox - Token 206,2,50,150 ,594337.5,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 179,36,/assets/0xd754937672300ae6708a51229112de4017810934/179,DEAFBEEF Series 4: Glitchbox - Token 179,1,36,169 ,669620.25,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 94,33,/assets/0xd754937672300ae6708a51229112de4017810934/94,DEAFBEEF Series 0: Synth Poems - Token 94,2,33,200 ,792450,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 201,42,/assets/0xd754937672300ae6708a51229112de4017810934/201,DEAFBEEF Series 4: Glitchbox - Token 201,1,42,250 ,990562.5,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 77,33,/assets/0xd754937672300ae6708a51229112de4017810934/77,DEAFBEEF Series 0: Synth Poems - Token 77,1,33,277 ,1097543.25,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 106,82,/assets/0xd754937672300ae6708a51229112de4017810934/106,DEAFBEEF Series 0: Synth Poems - Token 106,9,82,45 ,178301.25,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 195,38,/assets/0xd754937672300ae6708a51229112de4017810934/195,DEAFBEEF Series 4: Glitchbox - Token 195,2,38,65 ,257546.25,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 22,73,/assets/0xd754937672300ae6708a51229112de4017810934/22,DEAFBEEF Series 0: Synth Poems - Token 22,4,73,79 ,313017.75,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 191,8,/assets/0xd754937672300ae6708a51229112de4017810934/191,DEAFBEEF Series 4: Glitchbox - Token 191,381,8,99 ,392262.75,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 29,60,/assets/0xd754937672300ae6708a51229112de4017810934/29,DEAFBEEF Series 0: Synth Poems - Token 29,4,60,108 ,427923,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 169,9,/assets/0xd754937672300ae6708a51229112de4017810934/169,DEAFBEEF Series 4: Glitchbox - Token 169,414,9,500 ,1981125,deafbeef
DEAFBEEF Series 4: Glitchbox - Token 193,29,/assets/0xd754937672300ae6708a51229112de4017810934/193,DEAFBEEF Series 4: Glitchbox - Token 193,1,29,512 ,2028672,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 4,2,/assets/0xd754937672300ae6708a51229112de4017810934/4,DEAFBEEF Series 0: Synth Poems - Token 4,32,2,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 5,9,/assets/0xd754937672300ae6708a51229112de4017810934/5,DEAFBEEF Series 0: Synth Poems - Token 5,314,9,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 39,7,/assets/0xd754937672300ae6708a51229112de4017810934/39,DEAFBEEF Series 0: Synth Poems - Token 39,43,7,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 68,16,/assets/0xd754937672300ae6708a51229112de4017810934/68,DEAFBEEF Series 0: Synth Poems - Token 68,1,16,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 89,5,/assets/0xd754937672300ae6708a51229112de4017810934/89,DEAFBEEF Series 0: Synth Poems - Token 89,276,5,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 101,5,/assets/0xd754937672300ae6708a51229112de4017810934/101,DEAFBEEF Series 0: Synth Poems - Token 101,60,5,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 122,4,/assets/0xd754937672300ae6708a51229112de4017810934/122,DEAFBEEF Series 0: Synth Poems - Token 122,68,4,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 32,3,/assets/0xd754937672300ae6708a51229112de4017810934/32,DEAFBEEF Series 0: Synth Poems - Token 32,58,3,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 41,7,/assets/0xd754937672300ae6708a51229112de4017810934/41,DEAFBEEF Series 0: Synth Poems - Token 41,407,7,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 26,8,/assets/0xd754937672300ae6708a51229112de4017810934/26,DEAFBEEF Series 0: Synth Poems - Token 26,840,8,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 111,5,/assets/0xd754937672300ae6708a51229112de4017810934/111,DEAFBEEF Series 0: Synth Poems - Token 111,111,5,NA,NA,deafbeef
DEAFBEEF Series 0: Synth Poems - Token 103,3,/assets/0xd754937672300ae6708a51229112de4017810934/103,DEAFBEEF Series 0: Synth Poems - Token 103,245,3,NA,NA,deafbeef
